method,scenario,n_runs,tof_mae_ns_mean,tof_mae_ns_std,tof_mae_ns_ci95,tof_p90_ae_ns_mean,tof_p90_ae_ns_std,tof_p90_ae_ns_ci95,tracking_rmse_cm_mean,tracking_rmse_cm_std,tracking_rmse_cm_ci95,tracking_mae_cm_mean,tracking_mae_cm_std,tracking_mae_cm_ci95,tracking_p90_cm_mean,tracking_p90_cm_std,tracking_p90_cm_ci95,total_ms_per_update_mean,total_ms_per_update_std,total_ms_per_update_ci95,confidence_ece_mean,confidence_ece_std,confidence_ece_ci95,corruption_auroc_mean,corruption_auroc_std,corruption_auroc_ci95
Official CIR-CNN + repository PF,dropout,1.0,1.6253961324691772,0.0,0.0,3.2744462490081787,0.0,0.0,22.518381299333374,0.0,0.0,16.787463674783478,0.0,0.0,33.6779265559851,0.0,0.0,0.5912149444644093,0.0,0.0,0.008582818508148238,0.0,0.0,0.5,0.0,0.0
Official CIR-CNN + repository PF,los,1.0,0.42948564887046814,0.0,0.0,0.9962476491928101,0.0,0.0,14.621502383443177,0.0,0.0,12.207866325395251,0.0,0.0,22.04228209733085,0.0,0.0,0.7105611012663018,0.0,0.0,0.12891718149185183,0.0,0.0,,,
Official CIR-CNN + repository PF,nlos1,1.0,2.034451723098755,0.0,0.0,7.857359886169434,0.0,0.0,18.122655379540443,0.0,0.0,15.157580318554963,0.0,0.0,26.74816508966607,0.0,0.0,0.5623606224694456,0.0,0.0,0.010666151841481564,0.0,0.0,0.5,0.0,0.0
Official CIR-CNN + repository PF,outlier,1.0,1.3019626140594482,0.0,0.0,1.8048211336135864,0.0,0.0,17.872276214177056,0.0,0.0,14.373091759622572,0.0,0.0,25.849933410698018,0.0,0.0,0.8900198213616132,0.0,0.0,0.04141718149185181,0.0,0.0,0.5,0.0,0.0
Official CIR-CNN + stabilized equal PF,dropout,1.0,1.6253961324691772,0.0,0.0,3.2744462490081787,0.0,0.0,14.759691422459378,0.0,0.0,11.38686298953103,0.0,0.0,22.696967733608744,0.0,0.0,0.6035632500015709,0.0,0.0,0.008582818508148238,0.0,0.0,0.5,0.0,0.0
Official CIR-CNN + stabilized equal PF,los,1.0,0.42948564887046814,0.0,0.0,0.9962476491928101,0.0,0.0,11.378430610740319,0.0,0.0,9.286562404510533,0.0,0.0,19.301396976057905,0.0,0.0,0.8069316750010103,0.0,0.0,0.12891718149185183,0.0,0.0,,,
Official CIR-CNN + stabilized equal PF,nlos1,1.0,2.034451723098755,0.0,0.0,7.857359886169434,0.0,0.0,13.256870165363416,0.0,0.0,11.283513420155304,0.0,0.0,20.625597650168885,0.0,0.0,0.5691926249994594,0.0,0.0,0.010666151841481564,0.0,0.0,0.5,0.0,0.0
Official CIR-CNN + stabilized equal PF,outlier,1.0,1.3019626140594482,0.0,0.0,1.8048211336135864,0.0,0.0,12.479147096246972,0.0,0.0,10.249170021616942,0.0,0.0,19.499695831900244,0.0,0.0,0.890722625001672,0.0,0.0,0.04141718149185181,0.0,0.0,0.5,0.0,0.0
Official Variance-CNN + repository PF,dropout,1.0,3.3427536487579346,0.0,0.0,15.610740661621094,0.0,0.0,24.36915596299201,0.0,0.0,20.31180912500531,0.0,0.0,39.46159084579565,0.0,0.0,0.55381329588559,0.0,0.0,0.16422400474548338,0.0,0.0,0.5,0.0,0.0
Official Variance-CNN + repository PF,los,1.0,0.4918301999568939,0.0,0.0,1.6431442499160767,0.0,0.0,16.84347793836017,0.0,0.0,14.141390110514099,0.0,0.0,25.635442480082162,0.0,0.0,0.5669904816446847,0.0,0.0,0.0024426619211832534,0.0,0.0,,,
Official Variance-CNN + repository PF,nlos1,1.0,2.490297794342041,0.0,0.0,10.582744598388672,0.0,0.0,16.150174240990342,0.0,0.0,13.919090322783894,0.0,0.0,25.79295830441939,0.0,0.0,0.5739747726250652,0.0,0.0,0.14547400474548344,0.0,0.0,0.5,0.0,0.0
Official Variance-CNN + repository PF,outlier,1.0,1.796148657798767,0.0,0.0,3.5624988079071045,0.0,0.0,22.702356704298904,0.0,0.0,18.368788795650755,0.0,0.0,35.352872004087196,0.0,0.0,1.0097856757920598,0.0,0.0,0.09339067141215007,0.0,0.0,0.5,0.0,0.0
Official Variance-CNN + stabilized equal PF,dropout,1.0,3.3427536487579346,0.0,0.0,15.610740661621094,0.0,0.0,16.216123055200757,0.0,0.0,13.013649882170512,0.0,0.0,24.78069882513457,0.0,0.0,0.5661473000031947,0.0,0.0,0.16422400474548338,0.0,0.0,0.5,0.0,0.0
Official Variance-CNN + stabilized equal PF,los,1.0,0.4918301999568939,0.0,0.0,1.6431442499160767,0.0,0.0,12.349484025317224,0.0,0.0,10.2699764977935,0.0,0.0,19.50513382139451,0.0,0.0,0.6267527999995082,0.0,0.0,0.0024426619211832534,0.0,0.0,,,
Official Variance-CNN + stabilized equal PF,nlos1,1.0,2.490297794342041,0.0,0.0,10.582744598388672,0.0,0.0,12.405713670376022,0.0,0.0,10.612678708930815,0.0,0.0,20.830519086849257,0.0,0.0,0.5739496624983076,0.0,0.0,0.14547400474548344,0.0,0.0,0.5,0.0,0.0
Official Variance-CNN + stabilized equal PF,outlier,1.0,1.796148657798767,0.0,0.0,3.5624988079071045,0.0,0.0,16.181801382462808,0.0,0.0,12.831760087199113,0.0,0.0,25.34615559888852,0.0,0.0,0.9517660000000205,0.0,0.0,0.09339067141215007,0.0,0.0,0.5,0.0,0.0
U-Fuse + equal PF,dropout,1.0,1.8807814121246338,0.0,0.0,7.26838493347168,0.0,0.0,12.282448979441678,0.0,0.0,9.91225750006168,0.0,0.0,19.05876524173174,0.0,0.0,1.6653905625020116,0.0,0.0,0.2071615601889789,0.0,0.0,1.0,0.0,0.0
U-Fuse + equal PF,los,1.0,0.3516831696033478,0.0,0.0,0.9123514890670776,0.0,0.0,8.890812192987948,0.0,0.0,7.3459464172980855,0.0,0.0,13.319887999821676,0.0,0.0,1.5098987499982286,0.0,0.0,0.22788350662837428,0.0,0.0,,,
U-Fuse + equal PF,nlos1,1.0,2.2148211002349854,0.0,0.0,9.385830879211426,0.0,0.0,9.818448064863011,0.0,0.0,8.328175421611759,0.0,0.0,14.92747171480814,0.0,0.0,1.3176899124999863,0.0,0.0,0.15760953379794954,0.0,0.0,0.8967187499999999,0.0,0.0
U-Fuse + equal PF,outlier,1.0,1.4189224243164062,0.0,0.0,2.365741729736328,0.0,0.0,10.873208964059327,0.0,0.0,8.961675673822597,0.0,0.0,17.57837865963974,0.0,0.0,2.206591462501706,0.0,0.0,0.16873089677343767,0.0,0.0,0.9431016042780749,0.0,0.0
U-FusePF proposed,dropout,1.0,1.8807814121246338,0.0,0.0,7.26838493347168,0.0,0.0,7.745366802602291,0.0,0.0,6.550689063955895,0.0,0.0,12.529815803628836,0.0,0.0,1.7524977500045225,0.0,0.0,0.2071615601889789,0.0,0.0,1.0,0.0,0.0
U-FusePF proposed,los,1.0,0.3516831696033478,0.0,0.0,0.9123514890670776,0.0,0.0,6.1364002563882725,0.0,0.0,5.311038479769327,0.0,0.0,9.16189524367243,0.0,0.0,1.5894893749987205,0.0,0.0,0.22788350662837428,0.0,0.0,,,
U-FusePF proposed,nlos1,1.0,2.2148211002349854,0.0,0.0,9.385830879211426,0.0,0.0,7.441356544802563,0.0,0.0,6.371662434121261,0.0,0.0,11.787055273587823,0.0,0.0,1.4027843249976968,0.0,0.0,0.15760953379794954,0.0,0.0,0.8967187499999999,0.0,0.0
U-FusePF proposed,outlier,1.0,1.4189224243164062,0.0,0.0,2.365741729736328,0.0,0.0,7.136410104657363,0.0,0.0,5.942734328256383,0.0,0.0,12.066798996805437,0.0,0.0,2.234489600002121,0.0,0.0,0.16873089677343767,0.0,0.0,0.9431016042780749,0.0,0.0
